,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Quantity,,,Comercial,,,,Current Date in Cell to the right,,,11-Dec-15,Contact,,
S/N,KAM,Company,New Account,Region,Segment,Vertical,Sub-Vertical, Product , Mobile Plans ,Sales Stage,Capacity, Unit , QTY , NRC , Unit MRC , Total MRC , ARC , Date Identified (mm/dd/yy) , Date Closed (mm/dd/yy) , Duration if Closed , Number of Days in Pipeline (Ageing) ,Name,Phone no,Email address
568,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
569,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
570,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
571,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
572,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
573,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
574,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
575,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
576,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
577,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
578,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
579,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
580,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
581,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
582,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
583,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
584,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
585,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
586,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
587,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
588,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
589,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
590,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
591,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
592,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
593,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
594,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
595,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
596,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
597,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
598,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
599,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
600,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
601,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
602,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
603,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
604,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
605,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
606,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
607,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
608,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
609,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
610,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
611,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
612,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
613,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
614,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
615,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
616,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
617,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
618,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
619,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
620,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
621,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
622,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
623,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
624,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
625,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
626,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
627,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
628,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
629,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
630,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
631,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
632,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
633,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
634,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
635,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
636,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
637,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
638,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
639,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
640,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
641,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
642,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
643,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
644,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
645,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
646,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
647,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
648,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
649,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
650,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
651,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
652,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
653,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
654,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
655,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
656,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
657,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
658,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
659,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
660,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
661,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
662,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
663,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
664,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
665,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
666,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
667,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
668,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
669,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
670,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
671,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
672,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
673,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
674,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
675,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
676,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
677,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
678,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
679,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
680,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
681,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
682,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
683,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
684,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
685,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
686,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
687,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
688,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
689,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
690,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
691,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
692,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
693,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
694,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
695,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
696,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
697,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
698,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
699,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
700,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
701,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
702,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
703,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
704,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
705,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
706,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
707,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
708,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
709,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
710,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
711,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
712,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
713,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
